tier,word,utterance_type,object_present,speaker,timestamp,basic_level,comment
*FAN,ears,d,n,MOT,20646920_20648020,ear
*CXN,eye,d,y,MOT,5850560_5852080,eye
*FAN,face,d,y,MOT,14646650_14648750,face
*OLN,face,d,y,MOT,21916820_21917620,face
*FAF,fish,q,n,MOT,5804580_5805730,fish
*NOF,fish,q,n,MOT,5805730_5806530,fish
*OLN,food,d,n,MOT,4257800_4259350,NA
*FAN,food,q,y,MOT,4647190_4648810,NA
*FAN,food,q,y,MOT,20780890_20783620,NA
*FAN,food,q,y,MOT,20890280_20892160,NA
*FAN,food,d,y,MOT,21059570_21061340,NA
*FAN,foot,i,y,MOT,14117630_14119580,foot
*CHN,foot,i,y,MOT,21466090_21466690,foot
*FAN,fruit,d,n,MOT,20602460_20603560,NA
*FAN,fruit+snacks,q,n,MOT,14588160_14589630,fruit+snacks
*CXN,garbage,i,y,MOT,21608280_21609310,garbage
*FAN,garbage,d,y,MOT,21610960_21612250,garbage
*OLN,garbage,d,y,MOT,21613250_21614410,garbage
*OLN,garbage,d,y,MOT,21613250_21614410,garbage
*CXN,garbage,i,y,MOT,21618050_21618850,garbage
*FAN,gate,d,n,MOT,14693760_14697560,gate
*FAN,gate,d,y,MOT,21935120_21936120,gate
*TVN,gift+card,d,y,ADF,16464350_16465940,card
*FAN,granola,i,y,MOT,3633920_3635620,granola
*FAN,granola,d,y,MOT,4186180_4188480,granola
*FAN,grape,q,n,MOT,20233580_20234680,grapes
*FAN,grape,d,n,MOT,20287030_20288070,grapes
*CXN,grape,i,y,MOT,20292190_20293220,grapes
*CXN,grape,n,y,MOT,20294890_20295690,grapes
*FAN,grapes,q,n,MOT,3611350_3612470,grapes
*OLN,grapes,q,n,MOT,20229760_20231190,grapes
*OLN,grapes,q,n,MOT,20234680_20235670,grapes
*OLN,grapes,n,y,MOT,20290140_20290940,grapes
*OLN,grapes,n,y,MOT,20300250_20301240,grapes
*OLN,grapes,q,y,MOT,20329530_20330380,grapes
*OLN,grapes,q,n,MOT,20594850_20595650,grapes
*OLN,grapes,q,n,MOT,20848000_20849080,grapes
*FAN,grapes,q,y,MOT,20890280_20892160,grapes
*OLN,hair,d,y,MOT,14311340_14313400,hair
*OLN,hair,d,y,SIS,14314240_14317850,hair
*FAN,hair,d,n,MOT,14383320_14385420,hair
*OLN,hair,q,y,MOT,14513210_14518860,hair
*CXF,hand,q,y,MOT,17505660_17507360,hand
*OLN,hands,i,n,MOT,5193150_5197260,hand
*OLN,hands,d,y,MOT,5210870_5217110,hand
*OLN,hands,i,y,MOT,5245280_5246240,hand
*OLN,hands,s,n,TVN,7140110_7147060,hand
*OLN,hands,s,n,TVN,7140110_7147060,hand
*OLN,hands,s,n,TVN,7153710_7155140,hand
*FAN,hands,i,y,MOT,21431660_21432270,hand
*FAN,hands,i,y,MOT,21705570_21708500,hand
*FAN,hands,i,y,MOT,21705570_21708500,hand
*OLN,hands,d,y,MOT,21712600_21714300,hand
*OLN,hands,i,y,MOT,21733910_21735260,hand
*FAN,hat,d,y,MOT,4079720_4085070,hat
*OLN,head,i,y,MOT,14907870_14910000,head
*FAN,hood,q,y,MOT,14507940_14508940,hood
*OLN,horn,s,n,TVN,7044030_7045800,horn
*MAF,horn,s,n,TVN,7049520_7050550,horn
*CXN,horsey,q,y,MOT,5492600_5494070,horsey
*CXN,horsey,d,y,MOT,5506480_5507520,horsey
*FAN,house,d,n,MOT,16914460_16915260,house
*OLN,house,d,n,MOT,16923800_16924600,house
*FAN,ice+cream,q,n,MOT,4837420_4838700,ice+cream
*FAN,ice+cream,d,n,MOT,4841160_4842230,ice+cream
*OLN,ipad,d,n,MOT,20100880_20104820,ipad
*FAF,jam+jams,d,y,MOT,21539950_21541020,jam+jam
*FAN,knife,d,y,MOT,20283150_20284710,knife
*CXN,laundry,d,y,MOT,4531520_4532520,laundry
*FAN,laundry,d,y,MOT,5900690_5902960,laundry
*FAN,leg,d,y,MOT,5817830_5818940,leg
*FAN,legs,q,n,MOT,3915710_3918310,leg
*FAN,legs,q,y,MOT,5742930_5744430,leg
*CHN,light,i,y,MOT,5269220_5270290,NA
*FAN,light,d,n,MOT,21998750_22001150,NA
*FAN,light,d,y,MOT,22002450_22003850,NA
*CXN,lion,d,n,SIS,16873550_16874780,lion
*OLN,lock,d,n,MOT,21628090_21629710,lock
*OLN,m+m,d,n,MOT,21725610_21730180,m+m
*FAN,m+m,q,n,MOT,21745220_21746220,m+m
*FAN,m+ms,q,n,MOT,21722240_21723810,m+m
*OLN,m+ms,d,n,MOT,21737590_21739260,m+m
*FAN,macaroon,n,n,MOT,3642260_3643810,macaroons
*OLN,macaroon,q,n,MOT,3691300_3693440,macaroons
*CXN,macaroon,d,n,SIS,3879860_3880680,macaroons
*CXN,macaroon,d,n,SIS,4485400_4486860,macaroons
*FAN,macaroons,d,n,MOT,3648130_3649680,macaroons
*OLN,macaroons,d,n,MOT,3651860_3652700,macaroons
*FAN,macaroons,d,n,MOT,3662810_3667030,macaroons
*OLN,macaroons,d,n,MOT,3830380_3831280,macaroons
*CXN,macaroons,q,n,MOT,4487880_4490390,macaroons
*OLF,macaroons,d,n,MOT,4657370_4658910,macaroons
*FAN,macaroons,q,n,MOT,4764210_4768240,macaroons
*OLN,macaroons,q,n,MOT,5299290_5300270,macaroons
*OLN,macaroons,d,n,MOT,5312460_5314100,macaroons
*FAN,macaroons,d,n,MOT,6157210_6158210,macaroons
*CXN,milk,q,n,MOT,3636780_3638120,milk
*CXN,mittens,d,y,MOT,22486270_22487950,mitten
*MAF,money,s,n,TVN,6991650_6992690,money
*FAN,monkey,n,u,MOT,3602600_3603630,monkey
*MAF,motor,s,n,TVN,7028840_7029950,motor
*OLF,motor,s,n,TVN,7033300_7035610,motor
*FAN,mouth,i,y,MOT,14951250_14952260,mouth
*FAN,mouth,i,y,MOT,14961360_14962670,mouth
*FAN,mouth,i,y,MOT,17696630_17699220,mouth
*FAN,mouth,q,y,MOT,20780890_20783620,mouth
*FAN,mouth,q,y,MOT,21120660_21121660,mouth
*TVN,ninja+turtles,d,n,MOT,15260650_15282190,turtle
*FAN,nose,d,n,MOT,3897950_3900200,nose
*FAN,nose,d,y,MOT,3901610_3904080,nose
*FAN,nose,q,n,MOT,3912310_3914250,nose
*FAN,nose,q,n,MOT,3926530_3927570,nose
*FAN,nose,d,y,MOT,19680410_19682780,nose
*CXN,nose,d,y,SIS,19693420_19694370,nose
*CXN,nose,d,y,SIS,19713630_19715350,nose
*OLN,Olaf,n,y,MOT,5768590_5769770,Olaf
*CXN,Olaf,d,y,MOT,5769770_5771010,Olaf
*MAN,Olaf,d,y,MOT,5775220_5776380,Olaf
*OLN,Olaf,n,y,MOT,5845850_5847050,Olaf
*TVN,pacifier,d,y,MOT,15805840_15806880,pacifier
*TVN,pacifiers,d,n,MOT,15722730_15724640,pacifier
*FAF,pants,d,n,MOT,4569390_4570620,pants
*OLN,pants,d,y,MOT,4858360_4859160,pants
*CXN,pants,q,y,MOT,4868120_4869160,pants
*FAN,pants,i,n,MOT,4970220_4973380,pants
*CXN,pants,q,y,MOT,4996370_4997460,pants
*NOF,pants,d,y,MOT,4999800_5001090,pants
*FAN,pants,q,n,MOT,5742930_5744430,pants
*FAN,pants,q,y,MOT,14166690_14168330,pants
*FAN,pants,d,n,MOT,20619460_20622680,pants
*FAN,pants,i,y,MOT,21673960_21676250,pants
*OLN,paper,d,y,MOT,21399720_21403180,paper
*FAN,phone,d,y,MOT,3880680_3883470,phone
*OLN,phone,d,y,MOT,14732800_14733610,phone
*FAN,phone,d,n,MOT,20094310_20095630,phone
*CXN,pickle,q,y,MOT,18934270_18935110,pickle
*FAN,pickle,q,y,MOT,19247280_19248280,pickle
*FAN,pickle,d,y,MOT,19256090_19259330,pickle
*CXN,pickle,d,n,SIS,19586480_19587630,pickle
*NOF,picture,d,n,MOT,21083870_21086290,NA
*FAN,picture,q,y,MOT,22024560_22028150,NA
*FAN,pie,q,n,MOT,16291570_16292930,pie
*TVF,pie,q,n,SIS,16978350_16979730,pie
*FAN,plum,q,n,MOT,3608330_3610550,plum
*OLN,plums,d,n,MOT,3779270_3780430,plum
*OLN,poopy,i,y,MOT,4750030_4750870,NA
*OLN,potty,i,n,MOT,4670600_4672140,potty
*OLN,potty,q,n,MOT,4870440_4871240,potty
*CXN,potty,d,n,MOT,4913190_4913990,potty
*TVN,potty,q,n,MOT,15292460_15300970,potty
*FAN,potty,q,y,MOT,21648340_21649440,potty
*FAN,pumpkin+pie,d,n,MOT,3884850_3888140,pie
*OLN,pumpkin+pie,n,n,MOT,3888140_3889160,pie
*TVN,pumpkin+pie,d,n,MOT,15060090_15062460,pie
*TVN,pumpkin+pie,d,n,MOT,16301630_16302630,pie
*FAN,pumpkin+pie,d,n,MOT,21892700_21894940,pie
*TVN,pumpkins,d,n,MOT,15062460_15063480,pumpkin
*CXN,puzzle,q,y,MOT,21973100_21974150,puzzle
*CXN,puzzle,q,y,MOT,21974950_21975750,puzzle
*FAN,puzzle,q,y,MOT,21981370_21982730,puzzle
*OLN,raincoat,d,n,MOT,14297210_14301360,coat
*FAN,raincoat,d,y,MOT,14307680_14308680,coat
*FAN,raincoat,d,y,MOT,14372510_14374980,coat
*CXN,raincoat,i,y,SIS,17490460_17491970,coat
*FAN,sandwich,q,y,MOT,19192050_19193540,sandwich
*FAN,sandwich,i,y,MOT,19325860_19327000,sandwich
